Id,Expected
0,find_restaurant|restaurant-name=golden wok
1,find_hotel|hotel-internet=yes
2,find_hotel|hotel-area=north|hotel-stars=4
3,find_restaurant|restaurant-food=asian oriental|restaurant-pricerange=cheap
4,find_hotel|hotel-internet=yes|hotel-stars=5
5,find_hotel|hotel-area=east|hotel-pricerange=cheap
6,find_restaurant|restaurant-food=modern european|restaurant-pricerange=moderate
7,find_restaurant|restaurant-food=south indian|restaurant-pricerange=expensive
8,find_hotel|hotel-internet=yes|hotel-stars=3
9,find_hotel|hotel-pricerange=moderate|hotel-type=guesthouse
10,find_hotel|hotel-name=carolina bed and breakfast
11,find_hotel|hotel-area=north|hotel-type=guesthouse
12,find_restaurant|restaurant-area=north|restaurant-food=french
13,find_hotel|hotel-parking=yes|hotel-pricerange=moderate
14,find_restaurant|restaurant-food=indian|restaurant-pricerange=expensive
15,find_restaurant|restaurant-name=chiquito
16,find_restaurant|restaurant-name=charlie chan
17,find_restaurant|restaurant-food=chinese|restaurant-pricerange=cheap
18,find_restaurant|restaurant-name=pizza hut fen ditton
19,find_hotel|hotel-internet=yes|hotel-type=guesthouse
20,find_hotel|hotel-pricerange=moderate
21,find_hotel|hotel-pricerange=expensive|hotel-stars=3
22,find_hotel|hotel-area=north
23,find_restaurant|restaurant-area=south|restaurant-pricerange=expensive
24,find_hotel|hotel-internet=yes|hotel-parking=yes
25,find_hotel|hotel-pricerange=moderate|hotel-stars=4
26,find_restaurant|restaurant-area=centre
27,find_restaurant|restaurant-name=meghna
28,find_hotel
29,find_hotel|hotel-name=a and b guest house
30,find_restaurant
31,find_restaurant|restaurant-area=east|restaurant-pricerange=expensive
32,find_hotel|hotel-pricerange=expensive
33,find_hotel|hotel-internet=yes|hotel-pricerange=moderate
34,find_hotel|hotel-area=centre|hotel-pricerange=cheap
35,find_hotel|hotel-area=west|hotel-stars=4
36,find_restaurant|restaurant-area=centre|restaurant-pricerange=cheap
37,find_restaurant
38,find_restaurant|restaurant-name=bedouin
39,find_restaurant|restaurant-area=centre|restaurant-pricerange=expensive
40,find_hotel|hotel-stars=2|hotel-type=guesthouse
41,find_hotel|hotel-name=carolina bed and breakfast
42,find_restaurant|restaurant-food=swedish|restaurant-pricerange=moderate
43,find_restaurant|restaurant-area=centre|restaurant-food=chinese
44,find_hotel|hotel-area=east|hotel-internet=yes
45,find_restaurant|restaurant-area=north|restaurant-pricerange=expensive
46,find_restaurant|restaurant-area=centre|restaurant-food=italian
47,find_restaurant|restaurant-name=sala thong
48,find_restaurant|restaurant-area=centre|restaurant-pricerange=moderate
49,find_hotel|hotel-name=a and b guest house
50,find_hotel
51,find_hotel
52,find_restaurant|restaurant-area=north|restaurant-pricerange=expensive
53,find_hotel|hotel-stars=4|hotel-type=guesthouse
54,find_hotel
55,find_restaurant
56,find_restaurant|restaurant-area=centre|restaurant-food=catalan
57,find_restaurant
58,find_restaurant|restaurant-area=west|restaurant-food=afghan
59,find_restaurant|restaurant-food=portuguese
60,find_hotel|hotel-internet=yes
61,find_hotel|hotel-name=lensfield hotel
62,find_hotel|hotel-name=flinches bed and breakfast
63,find_hotel
64,find_restaurant
65,find_restaurant|restaurant-food=panasian|restaurant-pricerange=expensive
66,find_hotel
67,find_hotel|hotel-area=south|hotel-parking=yes
68,find_restaurant|restaurant-area=east|restaurant-pricerange=cheap
69,find_restaurant|restaurant-food=indian|restaurant-pricerange=expensive
70,find_restaurant|restaurant-name=nandos
71,find_hotel
72,find_hotel|hotel-parking=yes|hotel-type=guesthouse
73,find_hotel|hotel-internet=yes|hotel-type=guesthouse
74,find_restaurant|restaurant-area=centre
75,find_restaurant
76,find_restaurant|restaurant-pricerange=cheap
77,find_restaurant
